Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,In-State,In-State,In-State,In-State,In-State,In-State,Out-of-State,Out-of-State,Out-of-State,Out-of-State,Out-of-State,Out-of-State,Admission Stats,Admission Stats,Admission Stats,GPA,GPA,GPA,GPA,GPA,GPA,GPA,GPA,Total SAT,Total SAT,Total SAT,Total SAT,Total SAT,Total SAT,Reading and Writing SAT,Reading and Writing SAT,Reading and Writing SAT,Reading and Writing SAT,Reading and Writing SAT,Reading and Writing SAT,Math SAT,Math SAT,Math SAT,Math SAT,Math SAT,Math SAT,ACT Composite,ACT Composite,ACT Composite,ACT Composite,ACT Composite,ACT Composite
University,Location,Application Fee,Calendar Type,Student:Faculty Ratio,First-time degree-seeking freshmen,Total Undergrads,Graduate Enrollment,Website,College Board Code,Tuition and Fees,Room and Board (on Campus),Room and Board (Off Campus),Books and supplies,Estimated personal expenses,Transportation expenses,Tuition and Fees,Room and Board (on Campus),Room and Board (Off Campus),Books and supplies,Estimated personal expenses,Transportation expenses,Total Applicants,Admitted,Enrolled,3.75+,3.5 - 3.74,3.25 - 3.49,3.00 - 3.24,2.50 - 2.99,2.00 - 2.49,1.00 - 1.99,Below 1.00,800 - 700,699 - 600,599 - 500,499 - 400,399 - 300,299 - 200,800 - 700,699 - 600,599 - 500,499 - 400,399 - 300,299 - 200,800 - 700,699 - 600,599 - 500,499 - 400,399 - 300,299 - 200,30 - 36,24 - 29,18 - 23,17 - 12,6 - 11,Below 6
University of Alabama,"Tuscaloosa, AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
